Date,Open,High,Low,Close,Adj Close,Volume
2015-12-16,229500.000000,231500.000000,228500.000000,228500.000000,194842.546875,141067
2015-12-17,229500.000000,232500.000000,229500.000000,232500.000000,198253.390625,116392
2015-12-18,230000.000000,231500.000000,229000.000000,229500.000000,195695.281250,144688
2015-12-21,229500.000000,232000.000000,228000.000000,228500.000000,194842.546875,127559
2015-12-22,228500.000000,229500.000000,227000.000000,228000.000000,194416.218750,160239
2015-12-23,228500.000000,233500.000000,228500.000000,232500.000000,198253.390625,167488
2015-12-24,234500.000000,235000.000000,232000.000000,233500.000000,199106.109375,155510
2015-12-28,233500.000000,233500.000000,229000.000000,230000.000000,196121.640625,287384
2015-12-29,223000.000000,224000.000000,215000.000000,215000.000000,190797.062500,423812
2015-12-30,216000.000000,218000.000000,214000.000000,215500.000000,191240.765625,257209
2016-01-04,214500.000000,215000.000000,205500.000000,210500.000000,186803.625000,348930
2016-01-05,209000.000000,210000.000000,208000.000000,210000.000000,186359.921875,261530
2016-01-06,212500.000000,216000.000000,206500.000000,208000.000000,184585.031250,307213
2016-01-07,206500.000000,208500.000000,203500.000000,204000.000000,181035.328125,227446
2016-01-08,207000.000000,208500.000000,204500.000000,208000.000000,184585.031250,336913
2016-01-11,206000.000000,207500.000000,202000.000000,203000.000000,180147.921875,253463
2016-01-12,207000.000000,208000.000000,205500.000000,206500.000000,183253.921875,170745
2016-01-13,208500.000000,208500.000000,205000.000000,208500.000000,185028.781250,146601
2016-01-14,206000.000000,208500.000000,204500.000000,208500.000000,185028.781250,148185
2016-01-15,211500.000000,211500.000000,204000.000000,205500.000000,182366.484375,174597
2016-01-18,202500.000000,205500.000000,201500.000000,203000.000000,180147.921875,140619
2016-01-19,202000.000000,204000.000000,202000.000000,202500.000000,179704.203125,77348
2016-01-20,200500.000000,201500.000000,194000.000000,197000.000000,174823.343750,318030
2016-01-21,195500.000000,197500.000000,191500.000000,193000.000000,171273.625000,237664
2016-01-22,194000.000000,197500.000000,193000.000000,197500.000000,175267.078125,170053
2016-01-25,196500.000000,198500.000000,193000.000000,194000.000000,172161.062500,228638
2016-01-26,196500.000000,201500.000000,195500.000000,198000.000000,175710.781250,288271
2016-01-27,202000.000000,202500.000000,198500.000000,201500.000000,178816.781250,219939
2016-01-28,202500.000000,205500.000000,201500.000000,205000.000000,181922.796875,154081
2016-01-29,207000.000000,209000.000000,203000.000000,209000.000000,185472.484375,139593
2016-02-01,213000.000000,219500.000000,212500.000000,216000.000000,191684.500000,292844
2016-02-02,213000.000000,217000.000000,209000.000000,216500.000000,192128.187500,161012
2016-02-03,208500.000000,209500.000000,199500.000000,208000.000000,184585.031250,484538
2016-02-04,205500.000000,213000.000000,205500.000000,210500.000000,186803.625000,160799
2016-02-05,210000.000000,211500.000000,208000.000000,210500.000000,186803.625000,112477
2016-02-11,205000.000000,206500.000000,201500.000000,204500.000000,181479.062500,275223
2016-02-12,205000.000000,211500.000000,205000.000000,211000.000000,187247.328125,348437
2016-02-15,214000.000000,217000.000000,212500.000000,216500.000000,192128.187500,179916
2016-02-16,217000.000000,217000.000000,208000.000000,216500.000000,192128.187500,177310
2016-02-17,212500.000000,217000.000000,212500.000000,215500.000000,191240.765625,102889
2016-02-18,218000.000000,222500.000000,216500.000000,220500.000000,195677.921875,153299
2016-02-19,221500.000000,225000.000000,218500.000000,224500.000000,199227.640625,155047
2016-02-22,222500.000000,226000.000000,220500.000000,226000.000000,200558.765625,145437
2016-02-23,226500.000000,230000.000000,223000.000000,228500.000000,202777.343750,176110
2016-02-24,226000.000000,228500.000000,225500.000000,228500.000000,202777.343750,140301
2016-02-25,227000.000000,227500.000000,221000.000000,225000.000000,199671.328125,196171
2016-02-26,225000.000000,227500.000000,223500.000000,227500.000000,201889.921875,173080
2016-02-29,228500.000000,233500.000000,226000.000000,233500.000000,207214.484375,1126589
2016-03-02,234000.000000,234000.000000,223000.000000,223000.000000,197896.468750,385725
2016-03-03,225500.000000,225500.000000,219500.000000,220000.000000,195234.187500,240529
2016-03-04,218500.000000,219000.000000,215500.000000,216500.000000,192128.187500,227222
2016-03-07,216000.000000,217000.000000,212000.000000,212000.000000,188134.781250,192149
2016-03-08,212500.000000,216000.000000,211000.000000,212000.000000,188134.781250,188570
2016-03-09,213000.000000,216000.000000,211500.000000,214500.000000,190353.359375,213795
2016-03-10,215000.000000,216500.000000,213000.000000,214500.000000,190353.359375,214791
2016-03-11,216000.000000,220500.000000,215000.000000,218500.000000,193903.062500,217625
2016-03-14,218000.000000,218500.000000,213500.000000,215000.000000,190797.062500,215182
2016-03-15,213500.000000,217000.000000,213500.000000,215500.000000,191240.765625,135209
2016-03-16,217000.000000,219000.000000,215000.000000,218000.000000,193459.343750,143540
2016-03-17,217000.000000,219000.000000,216500.000000,218000.000000,193459.343750,111368
2016-03-18,217500.000000,217500.000000,214000.000000,214500.000000,190353.359375,180888
2016-03-21,214500.000000,215000.000000,211500.000000,213500.000000,189465.937500,131076
2016-03-22,214000.000000,214500.000000,210000.000000,211000.000000,187247.328125,204208
2016-03-23,211000.000000,213000.000000,210000.000000,210000.000000,186359.921875,130464
2016-03-24,211000.000000,213500.000000,210000.000000,210000.000000,186359.921875,130125
2016-03-25,210500.000000,211500.000000,207000.000000,207500.000000,184141.343750,144108
2016-03-28,208500.000000,210500.000000,207000.000000,210500.000000,186803.625000,71671
2016-03-29,211500.000000,212500.000000,210500.000000,211500.000000,187691.046875,78097
2016-03-30,211500.000000,212500.000000,208000.000000,209500.000000,185916.187500,134242
2016-03-31,210500.000000,210500.000000,206000.000000,208500.000000,185028.781250,176041
2016-04-01,208000.000000,210000.000000,207500.000000,210000.000000,186359.921875,113129
2016-04-04,208000.000000,208500.000000,205500.000000,206000.000000,182810.203125,124430
2016-04-05,206000.000000,207500.000000,205500.000000,207000.000000,183697.625000,96265
2016-04-06,207000.000000,207000.000000,204000.000000,204000.000000,181035.328125,156807
2016-04-07,204000.000000,205000.000000,202000.000000,203500.000000,180591.640625,161626
2016-04-08,201500.000000,203000.000000,201000.000000,202500.000000,179704.203125,143031
